상호명,날짜,업종,위도,경도,시도,시군구,읍면동1,읍면동2,이용자수,남성비율,여성비율,10대비율,20대비율,30대비율,40대비율,50대이상비율,데이터기준일
영구유통춘천닭갈비,2021-09-27,기타시설,37.869009,127.729277,강원,춘천시,효자동,,445,55.63,44.37,13.32,21.05,23.86,19.66,22.11,2021-12-21
나래밭쉼터 숯불닭갈비,2021-09-05,음식점,37.857581,127.744533,강원,춘천시,석사동,,442,53.81,46.19,15.75,21.49,19.43,21.14,22.19,2021-12-21
만천한림닭갈비,2021-09-02,음식점,37.885681,127.75496,강원,춘천시,동면,만천리,440,16.16,83.84,16.15,14.94,21.98,27.44,19.49,2021-12-21
옛터숯불닭갈비,2021-09-07,음식점,37.809243,127.636069,강원,춘천시,남산면,강촌리,440,58.03,41.97,9.53,15.5,19.95,25,30.02,2021-12-21
구미 닭갈비,2021-11-07,음식점,37.879222,127.727666,강원,춘천시,조양동,,435,54.94,45.06,13.8,21.38,21.66,22.25,20.91,2021-12-21
도깨비집 숯불닭갈비,2021-11-07,음식점,37.87918,127.727599,강원,춘천시,조양동,,435,50.71,49.29,13.62,21.2,22.27,22.7,20.21,2021-12-21
명동ㆍ산골 닭갈비,2021-11-07,음식점,37.879299,127.727757,강원,춘천시,조양동,,435,51.43,48.57,14.77,21.18,20.59,21.35,22.11,2021-12-21
명동숯불닭갈비,2021-11-07,음식점,37.879418,127.727704,강원,춘천시,조양동,,435,52.97,47.03,12.94,20.52,21.88,22.25,22.41,2021-12-21
복천닭갈비,2021-11-07,음식점,37.879292,127.7276,강원,춘천시,조양동,,435,51.49,48.51,17.22,21.88,19.1,20.3,21.5,2021-12-21
장원닭갈비,2021-11-07,음식점,37.879213,127.72769,강원,춘천시,조양동,,435,50.9,49.1,13.37,20.57,21.58,22.02,22.46,2021-12-21
혜정닭갈비,2021-11-07,음식점,37.879072,127.727628,강원,춘천시,조양동,,435,52.21,47.79,15.07,21.81,20.04,21.04,22.04,2021-12-21
춘천닭갈비빵,2021-09-19,음식점,37.86415,127.736196,강원,춘천시,효자동,,426,27.32,72.68,13.09,20.82,23.63,20.58,21.88,2021-12-21
춘천닭갈비 생산전문(일신식품),2021-09-26,기타시설,37.863845,127.736719,강원,춘천시,효자동,,417,27.65,72.35,12.96,20.7,23.51,21.07,21.76,2021-12-21
